temperature,initial_feed_concentration,feed_cons_rate
1102.0,0.0109140068096847,0.7165207610017321
1104.0,0.0108942350582179,0.7614566337305235
1106.0,0.0108745348139896,0.8088030791949737
1108.0,0.0108549056897767,0.8586654104828991
1110.0,0.0108353473011464,0.911152006739229
1112.0,0.0108158592664321,0.9663742700735668
1114.0,0.0107964412067079,1.0244466016827436
1116.0,0.0107770927457639,1.0854862880376943
1118.0,0.0107578135100828,1.14961347711438
1120.0,0.0107386031288148,1.2169510182202454
1122.0,0.0107194612337545,1.2876243926371496
1124.0,0.0107003874593172,1.361761562919065
1126.0,0.0106813814425156,1.4394928246224368
1128.0,0.0106624428229367,1.5209506206915155
1130.0,0.0106435712427191,1.606269372083739
1132.0,0.0106247663465305,1.6955852472078092
1134.0,0.0106060277815455,1.7890359323431866
1136.0,0.010587355197423,1.8867603762715013
1138.0,0.0105687482462852,1.988898512314211
1140.0,0.0105502065826952,2.095590946891695
1142.0,0.0105317298636362,2.206978653236189
