tem,inion,fate
1116.0,0.0323312782372919,3.9244587016341175
1118.0,0.0322734405302484,4.147677769362132
1120.0,0.0322158093864444,4.381812575155533
1122.0,0.0321583837012636,4.627275339292372
1124.0,0.0321011623779517,4.884484804978592
1126.0,0.0320441443275469,5.153865446426569
1128.0,0.0319873284688101,5.435846837810246
1130.0,0.0319307137281573,5.7308627573016135
1132.0,0.0318742990395917,6.039350356827621
1134.0,0.0318180833446365,6.361749175107477
1136.0,0.0317620655922692,6.698500114789146
1138.0,0.0317062447388557,7.050044295999723
1140.0,0.0316506197480858,7.416821903087518
1142.0,0.0315951895909087,7.799270911774195
1144.0,0.0315399532454701,8.197825743817624
1146.0,0.0314849096970487,8.612915894188818
1148.0,0.0314300579379946,9.04496442540738
1150.0,0.0313753969676676,9.494386484421195
